TICID,Camera,CCD,Tmag,RA,Dec,sector,count
187310731,2,3,5.76,207.0747,-6.8375,91,1
20482601,4,2,5.77,255.9736,-24.8452,91,1
161210727,2,2,5.77,300.2765,-13.9413,92,1
842202,1,2,5.77,279.4768,-21.3982,92,1
442525723,3,1,5.77,315.2847,-13.53,92,1
23959521,3,1,5.78,313.2736,-11.5733,92,1
442077491,1,2,5.78,284.0599,-18.7096,92,1
243856698,4,4,5.78,273.8782,-18.6616,91,1
135574202,3,4,5.78,243.4322,-9.2031,91,1
1286643,1,1,5.78,279.628,-23.505,92,1
302121302,2,1,5.78,307.1842,-23.9842,92,1
424922893,1,2,5.79,280.2275,-14.5057,92,1
287985831,3,4,5.79,251.0201,-18.5413,91,1
465953443,1,1,5.79,281.5163,-27.4988,92,1
71841329,2,1,5.8,305.1187,-19.6475,92,1
67454165,3,3,5.8,241.395,-24.2237,91,1
423602735,3,1,5.81,320.4945,-9.3283,92,1
421952533,3,3,5.81,329.8655,-17.9957,92,1
41045516,4,1,5.81,255.5939,-10.952,91,1
333369635,3,4,5.81,326.2309,-9.0362,92,1
6041460,2,3,5.82,214.5049,-7.5441,91,1
23887388,2,2,5.82,219.7516,-10.5547,91,1
153072777,3,4,5.82,249.9131,-9.5556,91,1
164958342,3,1,5.82,321.6047,-12.0969,92,1
4912175,1,2,5.82,281.1593,-20.9711,92,1
3881116,1,1,5.83,280.5596,-23.2932,92,1
186731885,1,2,5.83,278.0546,-19.124,92,1
399746327,4,1,5.83,257.2013,-13.1271,91,1
2521351,2,3,5.83,207.7117,-7.7844,91,1
69542254,2,4,5.83,296.9999,-20.9576,92,1
71049895,3,2,5.83,236.9584,-19.7024,91,1
25302877,3,3,5.83,327.925,-18.6235,92,1
71602893,2,2,5.84,304.1503,-18.4075,92,1
309093599,2,1,5.84,220.6873,-19.3116,91,1
410540533,3,1,5.84,239.1396,-14.8297,91,1
409178916,3,4,5.84,251.6298,-16.5909,91,1
48908494,3,3,5.84,242.1821,-23.6856,91,1
75055737,2,1,5.85,301.918,-23.8829,92,1
410485468,3,1,5.85,239.0604,-14.4,91,1
187846258,2,4,5.85,287.1852,-23.1904,92,1
135568608,3,4,5.85,243.3059,-10.3376,91,1
414456873,4,1,5.85,256.1228,-12.6767,91,1
20856917,4,2,5.86,256.1167,-28.5846,91,1
418801202,3,2,5.86,315.6884,-19.2489,92,1
379558372,4,3,5.86,274.3501,-28.29,91,1
99364487,3,2,5.87,316.8748,-19.0887,92,1
198768720,4,2,5.87,255.8399,-23.1517,91,1
99415106,3,2,5.87,317.3884,-20.5576,92,1
326217710,2,1,5.87,308.079,-24.8705,92,1
